tower_id,node_id,name,cost,prerequisites,dmg_add,range_add,reload_reduce,crit_add,pierce_add,pos_x,pos_y,health_add,armor_add,gold_add,autocollect_reduce,skill_branch,skill_id,skill_p0,skill_p1,skill_p2,skill_p3,skill_p4
0,100,Root,0,_,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0
0,0,MultiShot_00,1,100,0,0,0,0,10,-170,170,0,0,0,0,-1,-1,0,0,0,0,0
0,1,MultiShot_01,1,0,0,0,0,0,0,-280,170,0,0,0,0,0,0,0,-2,0,3,0
0,2,MultiShot_02,1,1,4,0,-78,0,0,-390,170,0,0,0,0,-1,-1,0,0,0,0,0
0,3,MultiShot_03,1,2,0,0,0,0,0,-500,170,0,0,0,0,0,0,0,0,0,2,-2
0,4,MultiShot_04,3,3,4,0,-51,0,0,-610,170,0,0,0,0,-1,-1,0,0,0,0,0
0,5,MultiShot_05,3,0,0,0,108,0,0,-170,280,0,0,0,0,-1,-1,0,0,0,0,0
0,6,MultiShot_06,1,5,6,0,-48,0,0,-280,280,0,0,0,0,-1,-1,0,0,0,0,0
0,7,MultiShot_07,1,6,0,0,0,0,0,-390,280,0,0,0,0,0,0,0,0,5,0,0
0,8,MultiShot_08,1,7,0,0,45,0,0,-500,280,0,0,0,0,-1,-1,0,0,0,0,0
0,9,MultiShot_09,3,8,0,0,0,0,0,-610,280,0,0,0,0,0,0,0,2,0,0,0
0,10,MultiShot_10,1,5,0,0,0,0,0,-170,390,0,0,0,0,0,0,0,0,-2,2,0
0,11,MultiShot_11,3,10,0,17,0,0,0,-280,390,0,0,0,0,-1,-1,0,0,0,0,0
0,12,MultiShot_12,1,11,0,0,0,0,0,-390,390,0,0,0,0,0,0,0,5,0,0,0
0,13,MultiShot_13,2,12,4,0,-52,0,0,-500,390,0,0,0,0,-1,-1,0,0,0,0,0
0,14,MultiShot_14,1,13,5,0,-62,0,0,-610,390,0,0,0,0,-1,-1,0,0,0,0,0
0,15,MultiShot_15,3,10,0,0,0,3,0,-170,500,0,0,0,0,-1,-1,0,0,0,0,0
0,16,MultiShot_16,2,15,4,0,-86,0,0,-280,500,0,0,0,0,-1,-1,0,0,0,0,0
0,17,MultiShot_17,2,16,0,0,0,0,19,-390,500,0,0,0,0,-1,-1,0,0,0,0,0
